$L1,0,0.016,1.019,0.991,0.00,5.00,2.00,120.00,25.00*6D
$L1,51,0.067,1.007,1.010,0.26,5.00,2.00,120.00,25.00*55
$L1,102,0.103,1.013,0.992,0.51,4.99,2.00,120.01,25.01*67
$L1,153,0.163,1.005,0.994,0.77,4.99,2.00,120.01,25.01*60
$L1,203,0.189,0.969,1.000,1.02,4.97,2.00,120.01,25.01*68
$L1,254,0.239,0.976,0.993,1.27,4.96,2.00,120.01,25.01*68
$L1,305,0.285,0.967,1.001,1.52,4.94,2.00,120.02,25.02*69
$L1,356,0.337,0.937,1.005,1.77,4.92,2.00,120.02,25.02*67
$L1,407,0.406,0.918,1.004,2.02,4.90,2.00,120.02,25.02*6E
$L1,458,0.448,0.881,0.998,2.27,4.87,2.00,120.02,25.02*63
$L1,509,0.495,0.882,0.997,2.52,4.84,2.00,120.03,25.03*6B
$L1,560,0.548,0.831,0.994,2.77,4.80,2.00,120.03,25.03*6D
$L1,611,0.561,0.808,1.004,3.01,4.77,2.00,120.03,25.03*60
$L1,662,0.619,0.795,1.003,3.25,4.73,2.00,120.03,25.03*66
$L1,713,0.661,0.759,0.993,3.49,4.69,2.00,120.04,25.04*6E
$L1,764,0.701,0.725,1.000,3.73,4.64,2.00,120.04,25.04*64
$L1,814,0.732,0.705,0.997,3.96,4.59,2.00,120.04,25.04*6D
$L1,865,0.771,0.666,1.005,4.20,4.54,2.00,120.04,25.04*6C
$L1,916,0.806,0.616,1.002,4.43,4.48,2.00,120.05,25.05*6E
$L1,967,0.819,0.555,0.993,4.65,4.43,2.00,120.05,25.05*6D
$L1,1019,0.865,0.532,0.994,4.88,4.36,2.00,120.05,25.05*50
$L1,1069,0.858,0.499,1.004,5.10,4.30,2.00,120.05,25.05*5E
$L1,1120,0.913,0.431,0.999,5.31,4.24,2.00,120.06,25.06*54
$L1,1171,0.905,0.399,0.998,5.53,4.17,2.00,120.06,25.06*57
$L1,1222,0.922,0.331,0.999,5.74,4.10,2.00,120.06,25.06*56
$L1,1273,0.969,0.307,1.008,5.95,4.02,2.00,120.06,25.06*54
$L1,1324,0.985,0.234,0.993,6.15,3.94,2.00,120.07,25.07*5D
$L1,1375,0.994,0.210,1.000,6.35,3.86,2.00,120.07,25.07*5C
$L1,1426,0.994,0.145,1.010,6.54,3.78,2.00,120.07,25.07*59
$L1,1477,1.013,0.092,0.990,6.74,3.70,2.00,120.07,25.07*5B
$L1,1528,1.007,0.026,1.007,6.92,3.61,2.00,120.08,25.08*54
$L1,1580,0.992,0.004,1.001,7.10,3.52,2.00,120.08,25.08*5F
$L1,1631,1.002,-0.047,1.010,7.28,3.43,2.00,120.08,25.08*76
$L1,1682,0.977,-0.098,1.003,7.45,3.33,2.00,120.08,25.08*78
$L1,1733,0.968,-0.145,1.005,7.62,3.24,2.00,120.09,25.09*79
$L1,1784,0.969,-0.215,0.995,7.79,3.14,2.00,120.09,25.09*7A
$L1,1835,0.971,-0.250,0.998,7.94,3.04,2.00,120.09,25.09*78
$L1,1886,0.935,-0.300,1.007,8.09,2.94,2.00,120.09,25.09*79
$L1,1937,0.933,-0.360,0.993,8.24,2.83,2.00,120.10,25.10*7E
$L1,1988,0.908,-0.391,1.001,8.38,2.73,2.00,120.10,25.10*7D
$L1,2039,0.874,-0.460,0.996,8.52,2.62,2.00,120.10,25.10*74
$L1,2090,0.886,-0.485,1.000,8.65,2.51,2.00,120.10,25.10*72
$L1,2141,0.828,-0.543,1.007,8.78,2.40,2.00,120.11,25.11*7B
$L1,2192,0.824,-0.592,1.010,8.90,2.28,2.00,120.11,25.11*7B
$L1,2243,0.768,-0.609,0.998,9.01,2.17,2.00,120.11,25.11*7F
$L1,2295,0.743,-0.675,0.999,9.12,2.05,2.00,120.11,25.11*76
$L1,2352,0.704,-0.709,1.000,9.23,1.92,2.00,120.12,25.12*72
$L1,2404,0.656,-0.744,0.997,9.33,1.80,2.00,120.12,25.12*7D
$L1,2455,0.623,-0.775,1.002,9.42,1.68,2.00,120.12,25.12*7D
$L1,2506,0.575,-0.798,0.996,9.50,1.56,2.00,120.12,25.12*72
$L1,2556,0.544,-0.851,0.992,9.58,1.44,2.00,120.13,25.13*70
$L1,2608,0.513,-0.881,0.991,9.65,1.32,2.00,120.13,25.13*7B
$L1,2659,0.461,-0.890,0.992,9.71,1.19,2.00,120.13,25.13*74
$L1,2710,0.430,-0.906,0.993,9.77,1.07,2.00,120.13,25.14*7D
$L1,2762,0.371,-0.926,1.006,9.82,0.94,2.00,120.14,25.14*7A
$L1,2813,0.312,-0.929,1.008,9.87,0.82,2.00,120.14,25.14*75
$L1,2864,0.268,-0.957,0.993,9.90,0.69,2.00,120.14,25.14*79
$L1,2915,0.238,-0.978,0.998,9.94,0.56,2.00,120.14,25.15*74
$L1,2966,0.186,-0.976,1.008,9.96,0.44,2.00,120.15,25.15*79
$L1,3017,0.127,-0.977,1.005,9.98,0.31,2.00,120.15,25.15*7C
$L1,3068,0.091,-0.993,0.990,9.99,0.18,2.00,120.15,25.15*7C
